Block_number;Block_type;Trial_number;Trial_type;RT;Block_pleasure;Balance
8;True;16;miss;;2;3
8;True;17;near_miss;;2;3
8;True;18;miss;;2;3
8;True;19;near_miss;;2;3
8;True;20;miss;;2;3
8;True;21;near_miss;;2;3
8;True;22;near_miss;;2;3
8;True;23;miss;;2;3
8;True;24;miss;;2;3
8;True;25;miss;;2;3
8;True;26;miss;;2;3
8;True;27;near_miss;;2;3
8;True;28;win;;2;6
8;True;29;miss;;2;6
8;True;30;miss;;2;6
8;True;31;miss;;2;6
8;True;32;miss;;2;6
8;True;33;win;;2;9
8;True;34;miss;;2;9
8;True;35;near_miss;;2;9
8;True;36;miss;;2;9
8;True;37;miss;;2;9
8;True;38;win;;2;12
8;True;39;near_miss;;2;12
8;True;40;near_miss;;2;12
8;True;41;near_miss;;2;12
8;True;42;near_miss;;2;12
8;True;43;near_miss;;2;12
8;True;44;miss;;2;12
8;True;45;miss;;2;12
